#depth	age	UK37	SST
148.51	2451.89	0.928	26.16
148.61	2453.62	0.933	26.29
148.71	2455.41	0.932	26.26
148.81	2457.29	0.939	26.46
148.91	2459.33	0.948	26.75
149.01	2461.51	0.950	26.80
149.11	2463.69	0.950	26.79
149.21	2465.86	0.950	26.79
149.31	2468.04	0.951	26.82
149.41	2470.22	0.952	26.84
149.51	2472.39	0.942	26.56
149.61	2474.57	0.941	26.54
149.71	2476.72	0.950	26.79
149.81	2478.83	0.945	26.64
149.91	2480.77	0.944	26.61
150.01	2482.62	0.924	26.04
150.11	2484.35	0.887	24.93
150.21	2486.06	0.892	25.09
150.31	2487.77	0.891	25.06
150.41	2489.48	0.891	25.05
150.51	2491.19	0.895	25.17
150.61	2492.89	0.901	25.36
150.71	2494.59	0.909	25.58
150.81	2496.28	0.941	26.53
151.21	2504.85	0.962	27.15
151.31	2507.05	0.950	26.80
151.41	2509.27	0.938	26.45
151.51	2511.49	0.902	25.37
151.61	2513.91	0.880	24.75
151.71	2516.60	0.861	24.18
151.81	2519.34	0.883	24.83
151.91	2522.06	0.908	25.55
152.01	2524.72	0.925	26.06
152.11	2527.13	0.923	25.99
152.21	2529.39	0.928	26.15
152.31	2531.62	0.907	25.52
152.41	2533.85	0.906	25.51
152.51	2536.08	0.905	25.47
152.61	2538.30	0.905	25.47
152.71	2540.53	0.901	25.36
152.81	2542.74	0.911	25.66
152.91	2544.93	0.926	26.10
153.01	2547.11	0.946	26.66
153.11	2549.30	0.953	26.87
153.21	2551.48	0.967	27.29
153.31	2553.66	0.967	27.29
153.41	2555.85	0.961	27.12
153.51	2558.03	0.957	27.01
153.61	2560.05	0.935	26.35
153.71	2561.96	0.934	26.33
153.81	2563.85	0.925	26.05
153.91	2565.83	0.931	26.23
154.01	2567.88	0.948	26.72
154.11	2569.94	0.957	27.01
154.21	2572.00	0.959	27.07
154.31	2574.05	0.964	27.21
154.41	2576.11	0.960	27.09
154.51	2578.17	0.950	26.79
154.61	2580.23	0.942	26.56
154.71	2582.29	0.942	26.56
154.81	2584.35	0.962	27.13
154.91	2586.41	0.967	27.28
155.01	2588.46	0.967	27.29
155.11	2590.52	0.967	27.29
155.21	2592.58	0.952	26.85
155.31	2594.64	0.931	26.24
155.41	2596.90	0.919	25.88
155.49	2598.83	0.925	26.05
155.59	2601.26	0.929	26.17
155.69	2603.69	0.919	25.90
155.79	2606.12	0.917	25.82
155.89	2608.54	0.928	26.16
155.99	2610.97	0.941	26.53
156.09	2613.40	0.945	26.65
156.19	2615.64	0.923	25.99
156.29	2617.69	0.946	26.67
156.39	2619.73	0.954	26.91
156.49	2621.77	0.953	26.88
156.59	2623.81	0.936	26.40
156.69	2625.85	0.940	26.49
156.79	2627.97	0.940	26.51
