#%		No tun			Min tun Muller/MacDo	Age model deMenocal
#%m	%terr	age	sr	flux	age	sr	flux 	age	sr	flux
15.05	26.41	482.8	3.12	0.86	354.06	4.44	1.23	355.46	5.92	1.64
15.1	25.91	484.4	3.12	0.85	355.18	4.46	1.21	356.31	5.88	1.60
15.15	24.40	486.0	3.12	0.80	356.30	4.44	1.14	357.16	5.92	1.52
15.2	22.39	487.6	3.12	0.73	357.43	4.44	1.04	358	5.92	1.39
15.25	24.40	489.3	3.12	0.80	358.55	4.46	1.14	358.85	5.88	1.51
15.3	24.40	490.9	3.12	0.80	359.67	4.44	1.14	359.7	5.92	1.52
15.35	22.39	492.5	3.12	0.73	360.80	4.44	1.04	360.54	5.92	1.39
15.4	19.88	494.1	3.12	0.65	361.92	4.46	0.93	361.39	5.88	1.23
15.45	22.39	495.7	3.12	0.73	363.04	4.44	1.04	362.24	5.92	1.39
15.5	20.88	497.3	3.12	0.68	364.17	4.44	0.97	363.08	5.92	1.30
15.55	20.88	498.9	3.12	0.68	365.29	4.46	0.98	363.93	5.92	1.30
15.6	19.88	500.5	3.12	0.65	366.41	4.45	0.93	364.77	5.91	1.23
15.7	19.88	503.7	3.12	0.65	368.66	4.45	0.93	366.47	5.91	1.23
15.75	20.38	505.3	3.12	0.67	369.78	4.44	0.95	367.31	5.92	1.27
15.8	19.38	506.9	3.12	0.63	370.91	4.44	0.90	368.16	5.88	1.20
15.85	21.39	508.5	3.12	0.70	372.03	4.46	1.00	369.01	5.92	1.33
15.9	19.88	510.1	3.12	0.65	373.15	4.44	0.93	369.85	5.92	1.24
15.95	18.87	511.7	3.12	0.62	374.28	4.44	0.88	370.7	5.88	1.17
16	16.36	513.3	3.12	0.54	375.40	4.46	0.77	371.55	5.92	1.02
16.05	18.87	514.9	3.12	0.62	376.52	4.46	0.88	372.39	5.92	1.17
16.1	19.88	516.5	3.12	0.65	377.64	4.44	0.93	373.24	5.88	1.23
16.15	18.37	518.1	3.12	0.60	378.77	4.44	0.86	374.09	5.92	1.14
16.2	15.86	519.7	3.12	0.52	379.89	4.46	0.74	374.93	5.92	0.99
16.25	14.35	521.3	3.12	0.47	381.01	4.44	0.67	375.78	5.88	0.89
16.3	14.85	522.9	3.12	0.49	382.14	4.44	0.69	376.63	5.92	0.92
16.35	14.85	524.5	3.12	0.49	383.26	4.46	0.70	377.47	5.92	0.92
16.4	15.86	526.1	3.12	0.52	384.38	4.44	0.74	378.32	5.88	0.98
16.45	16.86	527.8	3.12	0.55	385.51	4.44	0.79	379.17	5.59	0.99
16.5	15.86	529.4	3.12	0.52	386.63	4.46	0.74	380.11	3.85	0.64
16.55	16.36	531.0	3.12	0.54	387.75	4.44	0.76	381.77	3.00	0.52
16.6	18.87	532.6	3.12	0.62	388.88	4.44	0.88	383.44	2.99	0.59
16.65	20.38	534.2	3.12	0.67	390.00	4.46	0.96	385.11	3.00	0.64
16.7	21.39	535.8	3.12	0.70	391.12	4.44	1.00	386.77	3.00	0.67
16.75	17.37	537.4	3.12	0.57	392.25	4.44	0.81	388.44	2.99	0.55
16.8	14.85	539.0	3.12	0.49	393.37	4.46	0.70	390.11	3.00	0.47
16.85	12.84	540.6	3.12	0.42	394.49	4.44	0.60	391.77	3.00	0.40
16.9	11.84	542.2	3.12	0.39	395.62	4.44	0.55	393.44	2.99	0.37
