"STATION","NAME","DATE","TMAX"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-03","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-04","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-05","86"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-06","86"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-07","86"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-08","85"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-09","84"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-10","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-11","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-12","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-13","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-14","88"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-15","88"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-16","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-17","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-18","88"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-19","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-20","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-21","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-22","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-23","86"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-24","84"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-25","84"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-26","86"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-27","86"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-28","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-29","85"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-30","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-31","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-01","91"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-02","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-03","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-04","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-05","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-06","93"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-07","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-08","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-09","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-10","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-11","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-12","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-13","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-14","88"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-15","86"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-16","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-17","88"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-18","87"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-19","86"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-20","88"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-21","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-22","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-23","91"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-24","85"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-25","87"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-26","87"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-27","88"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-28","91"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-29","94"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-06-30","95"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-07-01","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-07-02","91"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-07-03","91"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-07-04","92"
